"wavelength","dsred_5ul","dsred_5ul_cu","dsred_5ul_cu_edta","lipo_uncleaved_100ul","lipo_uncleaved_100ul_cu","lipo_uncleaved_100ul_cu_edta","lipo_cleaved_100ul","lipo_cleaved_100ul_cu","lipo_cleaved_100ul_cu_edta","lipo_cleaved_275ul","lipo_cleaved_275ul_2","lipo_cleaved_275ul_cu","lipo_cleaved_275ul_cu_edta","lipo_uncleaved_275ul","lipo_uncleaved_275ul_cu","lipo_uncleaved_275ul_cu_edta"
561.9099731,26.76982307,115.1053009,25.22522545,112.6313858,344.8358459,200.3981476,8.404445648,9.122411728,7.936935902,20.51045609,20.69599533,17.75293922,17.67191887,28.11152458,14.26178741,30.35423088
562.9400024,24.48487091,35.23015594,21.92673302,35.41581345,93.41719818,60.10322189,7.428856373,6.096417904,6.801506519,17.85641861,17.56438828,13.06673622,14.61271858,29.31194496,11.93810081,30.87075233
563.9699707,26.67939568,10.64062977,23.48836708,14.63238335,19.90961647,18.67376328,7.359990597,4.933885098,6.434677601,16.06993103,17.70382118,11.40073967,13.8450222,30.34955025,11.31759071,31.83717918
564.8499756,27.77710915,7.483212471,24.81712341,11.65542984,8.545677185,13.68707085,7.055260181,4.382996082,6.15627718,17.23333168,17.7214241,10.46697426,12.94958687,31.68922615,11.16035461,33.94138718
565.8800049,28.16901398,6.976628304,26.81221581,11.47532845,5.666862011,13.01795006,6.916768551,4.174492359,6.402395725,16.66538048,16.93119049,9.173196793,12.96601868,34.7961998,10.94052505,35.53492737
566.9099731,31.9865303,7.011734962,30.1112442,13.17930222,5.65548563,13.32603073,7.568912983,3.297513008,6.594258785,16.56301308,17.51540756,8.080579758,13.89038849,37.19182205,10.55356216,38.13399506
567.9400024,35.312397,7.417953014,32.56248474,13.92899895,4.808315754,14.02536774,8.395547867,2.445392132,6.760043621,17.97634315,18.10628319,7.918218136,13.35459518,40.51795197,10.43133354,40.08320999
568.9699707,37.74809265,7.448557854,34.95763016,15.2779007,4.929518223,15.37240982,8.351823807,2.907731056,6.378124714,18.73634338,19.62960625,7.651910305,14.14864159,43.0605278,10.48738098,42.60961533
569.8499756,40.21570969,7.553440571,37.61823654,16.14751816,5.115383625,15.85117531,9.228099823,2.666100025,6.905743122,19.41784668,18.97671318,7.15374136,14.72457695,44.06899261,11.31513596,47.00102615
570.8800049,43.89279938,7.52650547,40.42702103,16.84481049,4.532871723,17.57102203,8.539855957,2.435625076,7.320654392,20.40779114,19.87401581,7.525021076,14.548172,46.14220047,11.27025604,46.92549515
571.9099731,46.53886795,7.840802193,42.29785538,18.55282211,5.205361843,18.59378052,8.9790802,2.570756435,7.531617641,21.21634865,21.25265884,6.676309109,15.73279381,49.01869202,11.45518303,48.99375153
572.9400024,49.64136124,8.41504097,44.61928177,19.55657005,5.248345852,18.86939049,9.311323166,2.019939899,7.597138882,22.04299736,21.3778019,6.521929264,15.52657509,51.28705978,11.67581177,52.27981186
573.9699707,52.19494629,8.433099747,47.18563461,21.4803009,4.926730633,19.85131836,9.773353577,1.573725224,7.515916348,22.03211212,22.15263939,5.691009045,15.96426773,54.17191696,11.55682755,52.87169266
574.8499756,54.47452164,9.112922668,49.50886917,21.80919647,5.334544659,20.92710304,9.074014664,1.737553596,7.816662312,22.30913925,23.21444321,5.93147707,15.96936989,55.15714645,11.51180649,54.65391922
575.8800049,56.10529327,8.913748741,52.86200333,23.58389473,4.76827383,21.42873764,10.02261925,1.270111084,8.011138916,23.37609863,23.07061768,5.191215992,16.52566719,55.69913483,11.33048058,54.31520844
