"wavelength","hs_wt_ox","hs_wt_red","hs_mut_ox","hs_mut_red","hs_dsred_ox","hs_dsred_red"
571.4921265,0.0332406573,0.03106099926,0.03959586099,0.03585696965,0.06025987864,0.05006964132
571.0073853,0.03330085427,0.0322631225,0.03978867456,0.03721722588,0.06045819074,0.05219997838
570.4852905,0.03373550996,0.03408928216,0.04023995996,0.0394019708,0.06103654951,0.05567111447
570.0004883,0.03396064043,0.03577718884,0.04046561942,0.04124756157,0.0614733994,0.05867851153
569.5155029,0.03408163786,0.03814216703,0.04055862874,0.04379684478,0.06196496636,0.0625647679
568.9932861,0.0343371518,0.04029568285,0.04099537805,0.04648213834,0.06232676283,0.06692942232
568.5082397,0.03438133374,0.04303259775,0.04099967331,0.04929460213,0.06273350865,0.07173897326
567.9858398,0.03490422294,0.04689054191,0.04147912934,0.05394563451,0.06337025762,0.07854995131
567.5007324,0.03464002162,0.04943343624,0.04160292074,0.05654887483,0.06336273253,0.08296637982
567.0154419,0.03474640101,0.0529589057,0.04159354791,0.06050210819,0.06363676488,0.08955349028
566.4928589,0.03485109285,0.05623452365,0.04181532562,0.06422159076,0.06402896345,0.09513887763
566.0075684,0.03513355553,0.05950522795,0.04189488292,0.06776683033,0.06422144175,0.1011435837
565.4848633,0.03507057577,0.06294833869,0.04198702797,0.07152882218,0.06424986571,0.107235752
564.9994507,0.0350542143,0.06574397534,0.04215101525,0.07444266975,0.06448988616,0.1118882895
564.513855,0.03512718156,0.06883662939,0.04209639132,0.07813711464,0.06471664459,0.1175183058
563.9909058,0.03537081555,0.07098492235,0.0423611477,0.08032383025,0.06479188055,0.1217344776
563.5053711,0.03522963822,0.07319189608,0.04226689413,0.08234006912,0.06492616981,0.1255084574
562.9822998,0.03531642258,0.07450968772,0.04236054793,0.08361753821,0.06498894095,0.1279788762
562.496582,0.03545857966,0.07577740401,0.04247242957,0.08454880118,0.0651338771,0.1300937682
562.0107422,0.03540777043,0.07665649801,0.04254699871,0.08504863083,0.06508449465,0.131636709
561.4875488,0.03554580361,0.07697170973,0.04250445962,0.08534504473,0.06509336829,0.1322961301
561.0015869,0.03535949811,0.07725412399,0.04254776984,0.08511434495,0.06499429047,0.1327712536
560.515625,0.03543349728,0.0773697719,0.04258288816,0.08466127515,0.06493491679,0.1327932477
559.9921875,0.03522989154,0.07684758306,0.04239057004,0.08371750265,0.06477580965,0.1321810037
559.5061035,0.03550169989,0.07656747103,0.04272558913,0.08314010501,0.06483377516,0.1311587393
558.9825439,0.0352556631,0.07542975992,0.04238531739,0.08165919781,0.06460028887,0.129388541
558.4963379,0.03539816663,0.07379238307,0.04261506721,0.07974912226,0.06470134854,0.1266221255
558.0100708,0.03569618613,0.07263795286,0.04271716252,0.07838338614,0.06475753337,0.1242907271
557.4863892,0.03561994806,0.07032796741,0.04276246205,0.0756380856,0.064419806,0.1199790388
557,0.03562039882,0.0685018599,0.04286682233,0.07360322028,0.06444992125,0.1164517105
556.5134888,0.03559101,0.06611631811,0.04269205779,0.07086806744,0.06452935189,0.1124409735
555.989624,0.03559044749,0.06335893273,0.04282639548,0.06817707419,0.06439842284,0.1072212383
555.5030518,0.0356441699,0.06120818481,0.04281051084,0.06593812257,0.06428942084,0.1035861224
555.0164185,0.03563607857,0.05807665363,0.04292505607,0.06296341866,0.06416712701,0.09807368368
554.4923096,0.0357543081,0.05573956668,0.04313622043,0.06083936989,0.06433883309,0.09396930784
554.0055542,0.0359101072,0.05344083533,0.04312721267,0.05869104713,0.06432574242,0.0895762369
553.4813843,0.03615977615,0.05129157007,0.04332557693,0.05691636354,0.06441902369,0.08589604497
552.9945068,0.03603330627,0.04958502203,0.04320935532,0.05496248975,0.06425517797,0.08244465292
552.5076294,0.03599286452,0.04760158807,0.04338387027,0.05314563215,0.06414023787,0.07897879928
551.9831543,0.03611847758,0.04655373469,0.04380967095,0.05237610266,0.0643151775,0.07668830454
551.4960938,0.03648762777,0.04507714882,0.0438079834,0.05121187493,0.06416991353,0.07413303107
551.0090332,0.0367830433,0.04429737478,0.04398282617,0.05064609647,0.0643664822,0.07245146483
550.484375,0.03673036024,0.04311151803,0.04407839477,0.04944436997,0.06422762573,0.07053684443
549.9972534,0.03688242659,0.04218675569,0.04436236247,0.04859044775,0.06435260922,0.06863696873
549.5100098,0.03706572205,0.04151635617,0.0443633087,0.04814250022,0.06438506395,0.06747663766
548.9851685,0.03704671934,0.04053313658,0.04450401664,0.04717704654,0.06436834484,0.06534457207
548.4978638,0.03692537546,0.03987595066,0.04450837523,0.04648988694,0.06435957551,0.06443887204
548.010376,0.03713984415,0.0392860882,0.04462353885,0.04595027864,0.06431496888,0.06310932338
547.4853516,0.03718324006,0.03854486346,0.04462156072,0.04535470158,0.06435651332,0.06209040806
