"protein","state","sod","avg_absorption_base","avg_absorption_quinone","avg_absorption_reduced","relative_reduction"
"mutant","liposomes","FALSE",0.0854269305865,0.103335539746667,0.21792298307,0.135163341280653
"mutant","liposomes","TRUE",0.081519205744,0.0827595625075,0.201802847781667,0.0103119322169475
"mutant","solubilized","FALSE",0.0649855725466667,0.117728883146667,0.250525697816667,0.284269025491103
"mutant","solubilized","TRUE",0.0862096320838333,0.0892378970981667,0.276394995055,0.0159227028148977
"wildtype","liposomes","FALSE",0.103384095686667,0.126274766026667,0.279243289433333,0.130164763367306
"wildtype","liposomes","TRUE",0.0819649907456667,0.0845774251965,0.272482093661667,0.0137123355900765
"wildtype","solubilized","FALSE",0.087444691733,0.142693401381667,0.277349927518333,0.290927785219778
"wildtype","solubilized","TRUE",0.0979891168571667,0.0984649322925,0.279626062506667,0.00261959610492184
