"protein","state","avg_absorption_base","avg_absorption_quinone","avg_absorption_reduced","relative_reduction"
"mutant","liposomes",0.11891210762,0.173059479638333,0.254362274706667,0.39975862107049
"mutant","solubilized",0.120702005551667,0.149809357275,0.364306499063333,0.119486103493979
"wildtype","liposomes",0.104752738781667,0.164219972246667,0.278169691063333,0.34291476515175
"wildtype","solubilized",0.0920057848095,0.12953767305,0.303897585476667,0.177127610045912
