type,concentration,absorption,comment
standard,0,0.0053
standard,0.025,0.0225
standard,0.125,0.1173
standard,0.25,0.2413
standard,0.5,0.4756
standard,0.75,0.6433
standard,1,0.8755
standard,1.5,1.2418
standard,2,1.6353

sample,0.628,0.5388,1:40
sample,1.030,0.8671,1:20
sample,2.279,1.8855,1:10
sample,2.783,2.2966,1:5
